age,date_account_created,date_first_booking,gender,Language_EN,Language_ZH,Country_US,Country_EUR,android,moweb,web,ios,Married,Children
56,9/28/2010,8/2/2010,F,1,0,1,0,1,0,1,0,1,1
42,12/5/2011,9/8/2012,F,1,0,0,0,0,1,1,0,0,1
41,9/14/2010,2/18/2010,U,1,0,1,0,1,0,1,0,0,2
46,1/2/2010,1/5/2010,F,1,0,1,0,1,0,1,0,0,2
47,1/3/2010,1/13/2010,F,1,0,1,0,1,0,1,0,1,3
50,1/4/2010,7/29/2010,F,1,0,1,0,1,0,1,0,1,3
46,1/4/2010,1/4/2010,U,1,0,1,0,1,0,1,0,1,1
36,1/4/2010,1/6/2010,F,1,0,1,0,1,0,1,0,1,2
33,1/7/2010,1/8/2010,F,1,0,0,0,1,0,1,0,1,1
31,1/7/2010,1/9/2010,U,1,0,1,0,1,0,1,0,0,1
29,1/10/2010,1/10/2010,F,1,0,0,1,1,0,1,0,1,1
30,1/10/2010,1/11/2010,M,1,0,1,0,1,0,1,0,1,2
40,1/11/2010,1/11/2010,U,1,0,1,0,1,0,1,0,1,2
26,1/12/2010,1/15/2010,F,1,0,0,1,1,0,1,0,0,1
32,1/12/2010,1/22/2010,F,1,0,1,0,1,0,1,0,1,1
35,1/13/2010,1/13/2010,U,1,0,0,1,1,0,1,0,1,3
37,1/13/2010,1/19/2010,U,1,0,1,0,1,0,1,0,1,1
42,1/14/2010,1/24/2010,U,1,0,0,1,1,0,1,0,0,2
31,1/15/2010,1/15/2010,F,1,0,1,0,1,0,1,0,1,3
30,1/19/2010,1/21/2010,F,1,0,1,0,1,0,1,0,1,1
44,1/23/2010,1/27/2010,F,1,0,1,0,1,0,1,0,1,3
34,1/24/2010,1/25/2010,U,1,0,1,0,1,0,1,0,1,2
33,1/25/2010,1/26/2010,U,1,0,1,0,1,0,1,0,0,1
44,1/26/2010,1/27/2010,U,1,0,1,0,1,0,1,0,1,1
19,1/26/2010,7/30/2010,U,1,0,1,0,1,0,1,0,0,0
52,1/27/2010,1/27/2010,M,1,0,1,0,1,0,1,0,1,1
35,1/30/2010,1/31/2010,M,1,0,0,0,1,0,1,0,1,1
57,2/2/2010,2/9/2010,F,1,0,0,1,1,0,1,0,1,2
30,2/3/2010,2/4/2010,F,1,0,1,0,1,0,1,0,1,1
49,2/3/2010,8/12/2010,U,1,0,1,0,1,0,1,0,0,1
36,2/6/2010,2/10/2010,F,1,0,1,0,1,0,1,0,1,3
32,2/7/2010,2/7/2010,F,1,0,1,0,1,0,1,0,1,2
33,2/7/2010,6/1/2010,M,1,0,1,0,1,0,1,0,1,2
46,2/8/2010,2/11/2010,F,1,0,1,0,0,1,1,0,1,1
40,2/8/2010,2/26/2010,F,1,0,0,1,1,0,1,0,1,1
54,2/9/2010,2/20/2010,U,1,0,0,1,1,0,1,0,0,2
32,2/9/2010,2/10/2010,U,1,0,1,0,0,1,1,0,1,3
28,2/10/2010,8/25/2010,U,1,0,1,0,1,0,1,0,1,1
57,2/10/2010,2/12/2010,F,1,0,1,0,1,0,1,0,0,1
47,2/10/2010,2/13/2010,F,1,0,1,0,1,0,1,0,1,1
34,2/10/2010,7/16/2010,M,1,0,1,0,1,0,1,0,0,3
69,2/13/2010,3/22/2010,F,1,0,1,0,1,0,1,0,0,1
30,2/15/2010,2/15/2010,F,1,0,0,1,1,0,1,0,1,2
33,2/15/2010,12/12/2010,U,1,0,1,0,1,0,1,0,1,3
29,2/16/2010,2/21/2010,F,1,0,0,1,1,0,1,0,1,2
43,2/17/2010,2/17/2010,F,1,0,1,0,1,0,1,0,0,1
36,2/18/2010,2/18/2010,U,1,0,1,0,1,0,1,0,1,1
33,2/19/2010,2/21/2010,F,1,0,1,0,0,1,1,0,1,1
39,2/20/2010,2/28/2010,M,1,0,1,0,1,0,1,0,0,1
47,2/21/2010,6/28/2010,U,1,0,1,0,1,0,1,0,1,1
52,2/21/2010,2/22/2010,F,1,0,0,1,1,0,1,0,1,3
25,2/22/2010,3/4/2010,U,1,0,1,0,1,0,1,0,1,1
36,2/23/2010,2/25/2010,M,1,0,0,0,0,1,1,0,1,3
65,2/24/2010,3/8/2010,U,1,0,1,0,1,0,1,0,1,2
33,2/24/2010,2/24/2010,F,1,0,0,1,1,0,1,0,1,1
38,2/24/2010,2/24/2010,M,1,0,1,0,0,1,1,0,1,2
41,2/24/2010,2/28/2010,U,1,0,0,1,1,0,1,0,0,1
32,2/25/2010,2/26/2010,U,1,0,1,0,1,0,1,0,1,3
28,2/26/2010,2/27/2010,U,1,0,1,0,1,0,1,0,1,1
46,2/26/2010,3/12/2010,F,1,0,1,0,1,0,1,0,0,1
63,2/27/2010,2/28/2010,F,1,0,1,0,0,1,1,0,1,1
57,2/28/2010,3/2/2010,U,1,0,1,0,1,0,1,0,1,2
